user_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,total
390424,1,0,0,1,0,0,0,1,1,1,5
642877,0,1,0,1,1,1,1,0,0,1,6
501380,0,0,1,0,1,1,0,0,0,1,4
136811,0,1,0,1,0,1,1,1,0,1,6
647461,1,0,1,1,0,1,0,1,1,1,7
561527,0,0,1,0,1,0,1,1,0,0,4
567389,0,1,0,1,0,0,0,1,1,0,4
240525,1,0,0,0,1,0,1,0,1,1,5
864812,1,1,1,1,0,1,0,0,1,0,6
918698,1,0,0,1,0,0,0,0,1,0,3
450279,0,1,0,0,0,1,1,0,1,1,5
412602,0,1,1,1,0,0,0,0,0,0,3
348876,0,0,0,0,0,0,0,1,1,0,2
447128,1,1,0,1,1,1,0,1,1,1,8
993330,0,1,1,1,1,1,0,0,1,1,7
312328,1,0,1,0,1,1,0,0,1,0,5
847352,1,1,1,0,0,0,0,1,1,1,6
155609,0,1,0,0,1,0,0,1,0,0,3
247447,0,0,0,1,0,0,0,0,0,1,2
507144,1,1,1,1,1,0,0,0,0,0,5
908011,0,1,1,0,0,1,0,1,0,0,4
118613,0,1,0,0,0,0,1,1,1,0,4
344718,0,0,0,1,0,0,1,1,0,0,3
176475,0,0,0,0,1,1,0,0,0,1,3
185577,1,0,0,0,0,1,1,0,0,1,4
259110,1,1,1,0,1,0,0,1,0,1,6
800120,1,1,1,1,0,1,1,0,1,1,8
634318,0,0,0,0,1,1,0,0,0,1,3
280388,0,0,0,1,1,1,0,0,0,0,3
490204,1,0,1,1,1,1,0,0,0,0,5
977616,0,0,0,0,0,0,0,1,1,1,3
798787,0,1,1,0,0,0,1,0,0,0,3
147657,0,1,1,1,0,1,0,1,0,0,5
368061,0,1,0,0,0,1,1,0,1,0,4
281001,0,1,0,1,1,0,0,0,1,1,5
905905,1,0,1,0,0,0,0,0,1,1,4
878887,1,0,1,0,0,1,0,0,1,0,4
146492,1,1,0,1,0,1,1,0,0,1,6
268488,0,0,0,0,0,1,1,1,1,0,4
938641,1,1,0,0,1,1,0,1,1,1,7
